WineID,WineDesignation,Category,CountryOfOrigin,Region,GrapeVariety,Year,AlcoholPercentage,BottleSize,PriceRange
19,Emotion Sec,Red,France,Provence,Fetească Neagră,2022,11.8,0.75L,Low
20,Oscar's Branco,Sparkling,Argentina,Mendoza,Fetească Neagră,2015,15.4,1L,Low
21,Michaela's Reserve,Dessert,Portugal,Alentejo,Riesling,2004,13.4,0.75L,Low
22,Monte Rosso Vineyard Reserve,Red,Chile,Casablanca Valley,Pinot Noir,2020,12.5,1.5L,Low
23,Spumante Brut,Red,Portugal,Douro,Fetească Neagră,2000,14.4,0.75L,Medium
24,Bátoreus,Rosé,France,Burgundy,Pinot Noir,2004,13.8,1L,Low
25,Lot 179,White,Australia,Barossa Valley,Fetească Neagră,2007,13.6,1L,Premium
26,Lot 13 Vineyard,White,France,Burgundy,Chardonnay,2009,13.2,1.5L,High
27,Premium Select,Rosé,Germany,Mosel,Tempranillo,2016,12.7,0.75L,Low
28,Allegra,Rosé,Portugal,Douro,Malbec,2005,11.3,1L,Medium
29,Whistling Ridge Vineyard,Sparkling,Chile,Maipo Valley,Sauvignon Blanc,2017,15.1,1L,High
30,Pasiteo,Red,Italy,Piedmont,Riesling,2016,12.8,0.75L,Premium
31,Grand Cru Hengst Wintzenheim,Sparkling,Argentina,Mendoza,Riesling,2018,13.2,0.75L,Premium
32,Lumière,Dessert,Argentina,Mendoza,Syrah,2006,11.6,1.5L,Premium
33,Bergdistel Smaragd,White,Germany,Mosel,Sauvignon Blanc,2009,11.3,0.75L,High
34,Rotenpüllen,White,Australia,Hunter Valley,Riesling,2001,14.5,1L,Low
35,Ilico,Red,Australia,Hunter Valley,Tempranillo,2018,14.6,0.75L,Premium
36,Napoleon,Rosé,Spain,Catalonia,Fetească Neagră,2011,14.2,1L,Medium
37,Redoma Reserva,White,Argentina,Salta,Malbec,2010,12.8,1.5L,High
38,Reserve,Sparkling,USA,Napa Valley,Tempranillo,2002,11.6,1L,Low
39,Alluvial,Sparkling,France,Champagne,Cabernet Sauvignon,2017,14.5,1L,Premium
40,Cuvée Jean-Gabriel,White,Argentina,Mendoza,Malbec,2015,12.0,1.5L,Medium
41,Unterebner,Rosé,Argentina,Mendoza,Fetească Neagră,2023,13.5,1L,Medium
42,Arpad's Selection,Sparkling,Chile,Casablanca Valley,Sauvignon Blanc,2004,12.4,1L,High
43,Early,Sparkling,USA,Napa Valley,Pinot Noir,2007,14.1,1.5L,Medium
44,KrimSekt White Matured Semi-Dry,Rosé,Spain,Catalonia,Malbec,2021,12.3,1L,Low
45,Vila Santa Reserva,Red,Australia,Barossa Valley,Chardonnay,2001,12.9,1L,Low
46,Chuy,Red,Italy,Piedmont,Pinot Noir,2009,11.7,1L,Premium
47,Black Magic,Red,Spain,Catalonia,Merlot,2022,13.0,1L,Premium
48,F. Contato Riserva,Red,Argentina,Mendoza,Syrah,2007,14.8,0.75L,High
49,Notorious,Rosé,Romania,Dealu Mare,Cabernet Sauvignon,2018,12.6,1L,Low
50,Clos de Betz Red Wine,Sparkling,Germany,Rheingau,Sauvignon Blanc,2020,12.2,1L,Low
51,Alfa Centauri,Rosé,Chile,Casablanca Valley,Malbec,2004,14.7,1L,High
52,Vertus Crianza,Red,Australia,Barossa Valley,Sauvignon Blanc,2004,13.6,1.5L,Premium
53,Kremser Pfaffenberg Reserve ,Red,Italy,Sicily,Tempranillo,2019,13.5,1L,Low
54,Tilenus,Rosé,Germany,Mosel,Pinot Noir,2018,11.6,0.75L,Low
55,Le Buche Olivi Cantine,Red,Argentina,Mendoza,Tempranillo,2008,15.4,1.5L,Premium
56,Santa Rosalia,Dessert,Portugal,Douro,Syrah,2000,11.1,1.5L,Premium
57,Plan de Dieu,White,France,Provence,Chardonnay,2023,13.3,0.75L,Low
58,M2 de Matallana,Red,France,Bordeaux,Sauvignon Blanc,2003,12.5,0.75L,Medium
59,Toasted Cow Vintners Blend,Sparkling,Germany,Rheingau,Fetească Neagră,2022,14.2,1L,Low
60,Beaune Grèves Premier Cru Vigne de l'Enfant Jésus,Red,Chile,Casablanca Valley,Syrah,2014,14.6,0.75L,Low
61,Rockin' One,Rosé,Italy,Tuscany,Merlot,2011,14.8,1.5L,Premium
62,Las Almas,Rosé,Australia,Barossa Valley,Malbec,2003,13.0,0.75L,High
63,Kirchberg de Ribeauville Grand Cru Grande Reserve,Sparkling,Romania,Dealu Mare,Malbec,2003,13.1,1L,Premium
64,Bronzonelle,White,Romania,Murfatlar,Merlot,2013,15.4,1.5L,Medium
65,Petit Colline,Sparkling,Romania,Murfatlar,Riesling,2004,13.3,1.5L,Medium
66,Château Monbazillac,Red,Argentina,Salta,Malbec,2012,15.3,1.5L,Premium
67,Reed,Sparkling,USA,Sonoma,Tempranillo,2002,11.2,1L,Medium
68,Notre Dame des Champs,Dessert,Romania,Murfatlar,Syrah,2007,11.1,1L,Medium
69,Gravity,Sparkling,Chile,Casablanca Valley,Sauvignon Blanc,2013,14.9,1L,Medium
70,Barrister's Block III,Dessert,Chile,Maipo Valley,Malbec,2001,14.3,0.75L,Low
71,Black Nova III,Rosé,Romania,Murfatlar,Cabernet Sauvignon,2011,14.4,1L,High
72,Ca' del Sarto,Red,Germany,Mosel,Malbec,2022,11.1,1L,High
73,Stanly Ranch,Rosé,Romania,Cotnari,Tempranillo,2002,12.0,1L,High
74,Olive Block,Sparkling,Germany,Mosel,Syrah,2010,11.9,1.5L,Premium
75,Winemaker's Collection Primitivo,White,Romania,Cotnari,Malbec,2017,14.4,1L,Medium
76,La Teresa Bloc Reserve,Red,Australia,Hunter Valley,Riesling,2015,13.7,0.75L,Premium
77,West Vineyard Tradizionale,Red,Chile,Maipo Valley,Malbec,2011,11.9,1.5L,Medium
78,Rosé Zweigelt,Dessert,Portugal,Alentejo,Riesling,2015,13.4,1L,Premium
79,Zero Dosage Brut Nature,Rosé,Germany,Rheingau,Pinot Noir,2007,15.0,1.5L,Low
80,Bechtheimer Stein Spätlese,Red,Germany,Mosel,Chardonnay,2019,15.1,1.5L,Medium
81,Kalaris Family Vineyard,Dessert,Germany,Rheingau,Chardonnay,2011,11.5,1.5L,Low
82,Fog-Eater,Dessert,Australia,Barossa Valley,Chardonnay,2011,14.6,0.75L,Premium
83,Park Blend,Red,Argentina,Mendoza,Syrah,2013,14.0,1.5L,Low
84,Mare Nectarus Reserve,Sparkling,France,Bordeaux,Malbec,2014,11.8,1L,Medium
85,Smart Dog,White,Italy,Veneto,Sauvignon Blanc,2006,13.6,1.5L,High
86,Domaine Adélie Champs Martin Premier Cru,White,France,Burgundy,Fetească Neagră,2003,12.4,1.5L,High
87,The Big Green Box,Sparkling,Spain,Rioja,Fetească Neagră,2014,11.7,1.5L,Medium
88,Oceanus,Dessert,Australia,Hunter Valley,Merlot,2012,15.5,0.75L,Medium
89,Wild Oak Vineyard,Sparkling,Spain,Catalonia,Sauvignon Blanc,2013,15.0,1L,Premium
90,Staley Vineyard,White,Chile,Casablanca Valley,Tempranillo,2009,13.9,1L,Premium
91,Stolo Family Vineyard Anno di Isabella,Sparkling,Spain,Rioja,Fetească Neagră,2014,14.9,1.5L,High
92,Quinta do Correio,Red,Chile,Casablanca Valley,Cabernet Sauvignon,2009,14.7,0.75L,Premium
93,No. 67,Dessert,France,Champagne,Syrah,2002,15.5,0.75L,Premium
94,Suzanne's Blend,White,Australia,Hunter Valley,Merlot,2020,11.9,1.5L,Medium
95,La Rosa,Rosé,Australia,Hunter Valley,Pinot Noir,2014,13.7,0.75L,Medium
96,Vom Donaulöss,Dessert,Argentina,Mendoza,Sauvignon Blanc,2016,13.3,0.75L,Premium
97,Torre di Oriolo,White,Spain,Rioja,Chardonnay,2009,15.0,0.75L,Medium
98,Microterroir de Los Lingues,Rosé,Portugal,Alentejo,Sauvignon Blanc,2021,14.1,0.75L,Low
99,Cara Mia Vineyard Camerata Red Wine,Dessert,Chile,Maipo Valley,Sauvignon Blanc,2020,11.3,0.75L,High
100,Kristy Vineyard,Dessert,USA,Sonoma,Fetească Neagră,2013,11.2,1.5L,Low
101,Johanneshöhe,Sparkling,Romania,Murfatlar,Pinot Noir,2003,12.0,0.75L,Premium
102,Patchwork,White,Germany,Mosel,Sauvignon Blanc,2020,11.8,0.75L,Low
103,Mondoca Dardi,Red,Argentina,Mendoza,Merlot,2022,11.1,1L,Low
104,Phelps Creek Vineyard Les Chênes,Dessert,Romania,Murfatlar,Riesling,2009,14.1,1L,Medium
105,Villa Luigia Millesimato Extra Dry,Sparkling,USA,Oregon,Syrah,2008,15.3,1.5L,High
106,Hillside Estate,Dessert,USA,Napa Valley,Fetească Neagră,2016,14.5,1.5L,Medium
107,Alibi,Dessert,Portugal,Alentejo,Riesling,2013,15.0,1L,Low
108,Les Tours,Red,Germany,Rheingau,Cabernet Sauvignon,2000,13.8,0.75L,Medium
109,Noble Roth Late Harvest,Dessert,Argentina,Salta,Pinot Noir,2020,13.3,0.75L,Medium
110,Sobra Red,White,Germany,Rheingau,Riesling,2010,11.9,1L,Premium
111,Notre Vie,White,Germany,Mosel,Chardonnay,2010,14.3,1L,Medium
112,Bassetti Vineyard Rena Block,Red,Chile,Casablanca Valley,Chardonnay,2016,15.2,1L,Premium
113,Vento,Sparkling,Argentina,Salta,Riesling,2005,14.9,1.5L,High
114,I Campacci,Red,Argentina,Mendoza,Sauvignon Blanc,2007,11.4,1.5L,High
115,Wadenswil Clone,White,Argentina,Salta,Malbec,2002,11.3,1L,High
116,Ayler Kupp Kabinett,Sparkling,Spain,Rioja,Riesling,2014,11.0,1L,High
117,Les Treilles,Sparkling,Australia,Barossa Valley,Sauvignon Blanc,2017,13.3,1.5L,High
118,Morelli Lane,White,Spain,Rioja,Tempranillo,2012,11.3,0.75L,Medium
119,O'Brien,Dessert,Chile,Casablanca Valley,Malbec,2017,12.0,0.75L,High
120,Coìme Cartizze Dry,Sparkling,Romania,Murfatlar,Tempranillo,2015,12.3,1L,Premium
121,Finca la Moneda,Red,France,Champagne,Cabernet Sauvignon,2003,15.2,1L,High
122,Tinto Figuero 4 Meses en Barrica,Rosé,Italy,Veneto,Malbec,2008,13.3,0.75L,High
123,Mademoiselle de T,Dessert,Italy,Piedmont,Chardonnay,2014,12.0,0.75L,Low
124,Spitzer 1000-Eimerberg Smaragd,White,Australia,Hunter Valley,Fetească Neagră,2005,14.3,1L,Low
125,Capellanía,Sparkling,Italy,Piedmont,Malbec,2002,14.1,1.5L,Medium
126,Sogno Dolce,Sparkling,Chile,Maipo Valley,Cabernet Sauvignon,2002,15.5,1.5L,Medium
127,Vif Red Wine,Sparkling,Romania,Dealu Mare,Syrah,2017,11.5,1L,Low
128,Cuvée Arthur,Red,Spain,Catalonia,Malbec,2018,13.6,1.5L,Premium
129,Dionysus Vineyard,Red,Australia,Barossa Valley,Merlot,2020,14.1,1L,Medium
130,Capensis,White,France,Bordeaux,Fetească Neagră,2004,11.5,0.75L,Medium
131,Frasi,Red,Romania,Dealu Mare,Merlot,2023,15.4,0.75L,Premium
132,Terre di Cariano,White,Germany,Rheingau,Merlot,2019,11.9,1.5L,Premium
133,Testal,Rosé,Germany,Rheingau,Pinot Noir,2023,12.5,1L,Premium
134,Gozzo Organic,Sparkling,Portugal,Douro,Chardonnay,2019,12.4,0.75L,Medium
135,Lot 110,Rosé,Romania,Cotnari,Riesling,2021,14.2,1.5L,Medium
136,Envoy,Red,Australia,Hunter Valley,Syrah,2010,11.8,0.75L,Premium
137,Gimblett Gravels Vineyard,Red,Italy,Veneto,Tempranillo,2002,12.4,1.5L,Premium
138,Limited Release IX Clones,Red,France,Champagne,Riesling,2006,15.2,1L,Premium
139,Robert Willis Reserve Spice Cabinet Vineyard,White,Argentina,Salta,Chardonnay,2008,13.4,0.75L,High
140,Les Abeilles,Sparkling,France,Bordeaux,Sauvignon Blanc,2017,13.7,1.5L,Medium
141,Sezim,Red,Portugal,Douro,Syrah,2011,14.0,1L,Premium
142,Brut Nature Millesimato,Rosé,Germany,Rheingau,Pinot Noir,2022,14.0,1L,Premium
143,Brut Quvée 21,Sparkling,Chile,Maipo Valley,Syrah,2007,13.7,1L,Premium
144,Sunflower Vineyard,Red,Australia,Hunter Valley,Syrah,2012,11.2,0.75L,Medium
145,Schlossböckelheimer Königsfels Kabinett,Red,Romania,Dealu Mare,Chardonnay,2004,14.6,1.5L,Low
146,Excelsior,Dessert,Australia,Hunter Valley,Chardonnay,2005,13.2,0.75L,Low
147,Portrait,Rosé,Australia,Hunter Valley,Malbec,2006,13.9,1.5L,Premium
148,Les Genêts Gris,Red,Spain,Rioja,Chardonnay,2017,13.1,0.75L,Medium
149,Domaine Saint Ferréol Les Vaunières,Red,Portugal,Douro,Tempranillo,2012,14.0,0.75L,Medium
150,Liebfrauenstift-Kirchenstück Trocken,Sparkling,Chile,Maipo Valley,Syrah,2018,12.4,1.5L,High
151,Kremser Weinberge,Dessert,Chile,Casablanca Valley,Malbec,2005,12.6,1.5L,Premium
152,Côtes De Barr,White,Australia,Barossa Valley,Chardonnay,2014,12.3,1L,Medium
153,Gran Crucero Limited Edition,Red,Spain,Catalonia,Tempranillo,2017,13.9,1L,Low
154,Terrunyo El Triángulo Vineyard Block: 28,Rosé,Argentina,Mendoza,Merlot,2013,13.4,1.5L,Medium
155,Dos Rubios Vineyard,White,Germany,Rheingau,Sauvignon Blanc,2022,13.2,1L,Medium
156,Riserva Rio Camerata,Dessert,Portugal,Alentejo,Merlot,2012,11.3,1.5L,Low
157,Dolinsek Ranch Old Vine,Red,USA,Napa Valley,Riesling,2015,12.5,1.5L,High
158,Royal Ambrosante Aged 20 Years Old Solera,Rosé,Argentina,Salta,Tempranillo,2003,14.2,0.75L,High
159,Hope,Red,Argentina,Mendoza,Tempranillo,2023,14.6,0.75L,Premium
160,Hgemon Grande Réserve,Rosé,Chile,Casablanca Valley,Cabernet Sauvignon,2010,12.7,0.75L,Premium
161,Nine Barrel,Dessert,Argentina,Mendoza,Tempranillo,2021,14.4,0.75L,Medium
162,Block M Estate,Rosé,Australia,Barossa Valley,Tempranillo,2001,12.0,1.5L,High
163,Arakena,Rosé,Portugal,Douro,Malbec,2014,14.4,1L,High
164,Molin Vecchio,White,Chile,Casablanca Valley,Cabernet Sauvignon,2011,13.8,1.5L,Medium
165,Semi Dry,Sparkling,Chile,Casablanca Valley,Chardonnay,2006,13.5,0.75L,Premium
166,Angels' Share,Dessert,Romania,Cotnari,Chardonnay,2019,13.9,1L,Low
167,Don David,Dessert,Germany,Mosel,Merlot,2022,11.1,1L,Premium
168,Herdade da Farizoa Reserva,Red,Argentina,Mendoza,Syrah,2012,13.9,1L,Medium
169,Boneyard,White,France,Provence,Chardonnay,2007,11.7,0.75L,Low
170,Dos Ranchos,Dessert,Germany,Rheingau,Tempranillo,2017,14.3,0.75L,High
171,Solms Astor Cape Jazz,Rosé,Germany,Mosel,Chardonnay,2008,12.9,1.5L,High
172,Edna Ranch Vineyard,Rosé,Chile,Maipo Valley,Chardonnay,2006,13.8,0.75L,Premium
173,Candy Mountain Vineyard,Red,USA,Napa Valley,Fetească Neagră,2011,13.6,1.5L,High
174,Chiaro di Stelle,White,Spain,Rioja,Chardonnay,2013,12.1,1.5L,High
175,Crimson,Sparkling,Portugal,Alentejo,Syrah,2004,12.3,0.75L,Premium
176,PS,Sparkling,Spain,Ribera del Duero,Malbec,2017,12.8,1L,Medium
177,Steinhaus,White,Romania,Dealu Mare,Tempranillo,2023,14.7,1L,Premium
178,El Recurso Single Vineyard Block N°18,Red,Chile,Casablanca Valley,Pinot Noir,2011,13.3,0.75L,Premium
179,Cuvée JM,Red,Argentina,Salta,Fetească Neagră,2006,13.1,1L,Medium
180,Jardin,Red,Portugal,Alentejo,Tempranillo,2004,14.6,1L,High
181,Montespertoli Petriccio,White,Portugal,Douro,Chardonnay,2012,15.5,1.5L,Low
182,Tagus Creek Chardonnay and Fernão Pires,White,Argentina,Mendoza,Riesling,2010,14.0,1.5L,Low
183,Côtes de Tablas Blanc,Red,Portugal,Douro,Malbec,2008,15.4,1L,Medium
184,Rive di Farra di Soligo Extra Dry,Red,Germany,Rheingau,Pinot Noir,2020,12.5,1L,Low
185,Rosé d'Une Nuit,Sparkling,Spain,Catalonia,Malbec,2003,13.7,1.5L,Low
186,Arione,Red,Portugal,Douro,Chardonnay,2004,14.3,0.75L,Premium
187,Big Bend Estate,Red,USA,Napa Valley,Merlot,2005,14.1,1.5L,High
188,La Traversagna,Dessert,Romania,Murfatlar,Syrah,2014,12.5,1L,High
189,Beauregard Premier Cru,Rosé,Chile,Casablanca Valley,Pinot Noir,2019,13.9,1.5L,High
190,Garnacha de Fuego Old Vines,Red,Chile,Maipo Valley,Riesling,2022,14.8,1.5L,High
191,Campo del Noce,Dessert,Argentina,Mendoza,Fetească Neagră,2015,13.5,1L,Premium
192,Plénitude de Bonté,Red,France,Champagne,Fetească Neagră,2013,15.5,1.5L,High
193,Les Barras,Dessert,Chile,Maipo Valley,Cabernet Sauvignon,2021,14.8,1L,Medium
194,Cerro Añon Gran Reserva,Dessert,Germany,Mosel,Cabernet Sauvignon,2021,14.6,1L,Premium
195,Falcoaria Reserva,Sparkling,Romania,Murfatlar,Cabernet Sauvignon,2017,13.2,1L,Low
196,Tempranillo-Garnacha-Syrah,Dessert,Australia,Hunter Valley,Fetească Neagră,2017,13.7,1.5L,Premium
197,Söri Rio Sordo,Dessert,Chile,Maipo Valley,Merlot,2021,14.8,0.75L,Premium
198,BDX,Red,USA,Oregon,Syrah,2015,15.0,1.5L,Low
199,M de Montguéret,Sparkling,Argentina,Salta,Syrah,2017,14.3,1L,High
200,River Junction,Sparkling,Spain,Catalonia,Tempranillo,2011,11.4,1.5L,Premium
201,Monte Alentejano,Sparkling,Romania,Dealu Mare,Sauvignon Blanc,2011,11.4,1L,Premium
202,Element Terre,White,Germany,Mosel,Chardonnay,2014,12.4,1L,Medium
203,Riserva Talento,White,Australia,Barossa Valley,Malbec,2000,11.5,0.75L,High
204,Xinomavro-Syrah-Cabernet Sauvignon,Rosé,Spain,Catalonia,Sauvignon Blanc,2023,12.9,0.75L,High
205,Mirage,Sparkling,Romania,Dealu Mare,Malbec,2018,12.6,1.5L,High
206,Weisse Reben,White,Romania,Dealu Mare,Cabernet Sauvignon,2015,11.5,1L,Medium
207,Elixir Demi-Sec Premier Cru,White,Romania,Cotnari,Sauvignon Blanc,2011,14.3,1L,Premium
208,Château Beauvillain-Monpezat,White,Germany,Mosel,Merlot,2010,13.5,1L,Medium
209,Laborel Riserva,Sparkling,Chile,Maipo Valley,Chardonnay,2020,13.7,1L,Premium
210,Meyer,Rosé,Italy,Sicily,Cabernet Sauvignon,2009,14.6,1.5L,Medium
211,Malbec-Merlot-Cabernet,White,Chile,Casablanca Valley,Chardonnay,2004,13.1,1L,Low
212,Lamole Gran Selezione,Dessert,USA,Sonoma,Pinot Noir,2008,14.7,1.5L,High
213,Dor Traminer-Chardonnay,White,Australia,Barossa Valley,Syrah,2016,13.0,0.75L,Low
214,Casalj,Dessert,Portugal,Douro,Riesling,2012,13.1,0.75L,Low
215,Caitlin's Select,White,Italy,Piedmont,Sauvignon Blanc,2017,11.4,1L,Medium
216,Thanisch Kabinett,Rosé,Australia,Hunter Valley,Merlot,2020,14.3,0.75L,High
217,La Gloria,Dessert,Germany,Rheingau,Fetească Neagră,2018,13.4,0.75L,Medium
218,acciaio,Dessert,Portugal,Alentejo,Tempranillo,2011,15.3,1.5L,Low
219,Unico,Red,Spain,Ribera del Duero,Pinot Noir,2006,13.4,1.5L,Low
220,Branco Reserva,Red,Romania,Dealu Mare,Syrah,2008,13.8,1.5L,Premium
221,Serrig Schloss Saarsteiner Eiswein,Red,USA,Napa Valley,Syrah,2020,14.5,0.75L,Premium
222,Dom Ruinart Blanc de Blancs Brut,Rosé,Spain,Catalonia,Syrah,2017,13.9,1.5L,Premium
223,Domaine des Deux Roches Plénitude e Bonté,White,Germany,Mosel,Riesling,2006,14.8,1.5L,High
224,Cuvée Lucia,Red,Portugal,Alentejo,Syrah,2001,12.3,1L,Premium
225,Le Focaie,Rosé,France,Burgundy,Riesling,2023,12.9,1L,High
226,Vento Teso,Sparkling,Chile,Maipo Valley,Syrah,2008,11.2,1.5L,Premium
227,Parmalee-Hill Vineyard,White,Argentina,Salta,Cabernet Sauvignon,2022,12.1,0.75L,Medium
228,Memsie Shiraz-Cabernet Sauvignon-Malbec-Petit Verdot,White,USA,Napa Valley,Riesling,2010,15.0,0.75L,High
229,Ronco delle Ginestre,Rosé,Romania,Cotnari,Cabernet Sauvignon,2021,13.1,1L,Premium
230,Cutthroat Blend,Red,Romania,Cotnari,Chardonnay,2004,11.0,1.5L,Premium
231,Doerner Vineyard,Rosé,Argentina,Salta,Fetească Neagră,2007,12.3,1L,Medium
232,Sergio Extra Dry,White,USA,Napa Valley,Merlot,2013,13.1,1.5L,High
233,Archimage,Rosé,Argentina,Salta,Chardonnay,2016,13.7,0.75L,Low
234,Stellato,Sparkling,Chile,Maipo Valley,Fetească Neagră,2002,13.7,0.75L,High
235,Blacktail Vineyard,Red,Spain,Rioja,Chardonnay,2021,13.4,0.75L,Medium
236,Windsor Gardens,Sparkling,Spain,Rioja,Pinot Noir,2020,13.8,0.75L,Premium
237,François de la Grange de Montigny,Rosé,France,Burgundy,Pinot Noir,2010,12.3,1.5L,Premium
238,Amoureux,Sparkling,Chile,Maipo Valley,Merlot,2002,15.2,1L,High
239,Le Chevalier de Sterimberg,Sparkling,Italy,Sicily,Malbec,2006,11.7,0.75L,High
240,Gravello,Red,Argentina,Mendoza,Tempranillo,2001,14.8,1L,Low
241,Falkensteiner Tradition,Dessert,Romania,Dealu Mare,Pinot Noir,2000,14.9,1L,Premium
242,Mediterranean Pétillant,Sparkling,Portugal,Alentejo,Sauvignon Blanc,2003,12.6,1L,High
243,La Porfia Gran Reserve,Dessert,Chile,Maipo Valley,Chardonnay,2005,14.5,1.5L,High
244,Katydid,Red,USA,Sonoma,Riesling,2004,11.2,0.75L,Premium
245,Blin's Édition Limitée Millésime Extra Brut,Red,Chile,Maipo Valley,Syrah,2022,13.6,1L,Premium
246,Edición Limitada de Familia,Dessert,Spain,Rioja,Tempranillo,2007,15.3,1L,Premium
247,Redhead Red,Red,France,Provence,Malbec,2022,13.6,0.75L,Low
248,Clos de l'Arlot Premier Cru,Sparkling,Argentina,Mendoza,Syrah,2018,14.3,0.75L,High
249,Five Vineyards Icewine,Sparkling,Australia,Barossa Valley,Fetească Neagră,2021,14.9,0.75L,High
250,Shea Vineyard,Dessert,Italy,Sicily,Pinot Noir,2001,12.2,1L,Medium
251,Moscato di Carmel Kosher,Sparkling,Portugal,Douro,Fetească Neagră,2005,14.8,0.75L,Premium
252,Velvet Glove,Red,Portugal,Alentejo,Syrah,2018,14.2,1.5L,Premium
253,Paradise Road,Dessert,Australia,Barossa Valley,Cabernet Sauvignon,2014,12.7,0.75L,Medium
254,Ramal Vineyard Dijon Clones,Sparkling,Romania,Dealu Mare,Fetească Neagră,2022,13.4,1L,Premium
255,Dalmau,Sparkling,Australia,Hunter Valley,Sauvignon Blanc,2020,13.2,1L,Premium
256,Veracity Paderewski Vineyard,Rosé,Romania,Cotnari,Tempranillo,2001,14.3,1.5L,Medium
257,Le Chai des Platanes,White,Argentina,Salta,Cabernet Sauvignon,2012,15.2,1.5L,Premium
258,Reserva Casillero del Diablo,Rosé,Chile,Casablanca Valley,Riesling,2015,14.5,1.5L,Medium
259,Vigna del Paradiso Extra Dry,Dessert,Australia,Barossa Valley,Syrah,2008,11.1,1L,High
260,Sogno,Sparkling,Australia,Barossa Valley,Malbec,2021,11.8,1L,Medium
261,Frog Prince,Red,Italy,Sicily,Chardonnay,2012,14.4,1L,Medium
262,West Terrace,Red,USA,Oregon,Riesling,2008,11.6,1L,Low
263,Bianco Breg,Red,France,Champagne,Pinot Noir,2004,12.2,1.5L,Premium
264,Conner Lee Vineyard Red,Red,Romania,Cotnari,Merlot,2010,12.2,0.75L,Medium
265,San Paolo Riserva,Red,Spain,Catalonia,Fetească Neagră,2010,13.1,0.75L,Medium
266,Boulder,Sparkling,Portugal,Douro,Malbec,2015,11.1,1.5L,High
267,Dundee Hills Cuvée,Sparkling,Italy,Sicily,Fetească Neagră,2022,12.3,1.5L,Low
268,Altenasso,White,Argentina,Salta,Riesling,2017,12.9,0.75L,Medium
269,Sonoro,Sparkling,Italy,Sicily,Pinot Noir,2003,12.7,0.75L,Medium
270,Valle Las Acequias,Rosé,Portugal,Douro,Merlot,2021,11.5,1L,Medium
271,Clos Windsbuhl Hunawihr Vendange Tardive,Rosé,Portugal,Alentejo,Malbec,2021,11.5,1L,Low
272,Pure Estate,Dessert,Portugal,Douro,Cabernet Sauvignon,2003,12.2,1L,Premium
273,George's Vineyard,Red,Germany,Mosel,Chardonnay,2019,14.7,1.5L,Premium
274,Angels' Peak,White,Spain,Catalonia,Tempranillo,2001,12.1,1.5L,Medium
275,Erbach Schlossberg Monopole Erstes Gewächs,Red,Portugal,Alentejo,Syrah,2017,13.6,1.5L,Premium
276,Pearl Hart,Rosé,Italy,Piedmont,Pinot Noir,2007,15.1,0.75L,Medium
277,33 de Dávalos,Rosé,France,Bordeaux,Pinot Noir,2013,11.7,0.75L,Premium
278,Dalva Vintage,Rosé,Chile,Casablanca Valley,Sauvignon Blanc,2021,11.4,1.5L,Premium
279,Il Drago e Le Sette Colombe,White,France,Provence,Cabernet Sauvignon,2019,12.4,1L,High
280,Higueruela,White,Chile,Casablanca Valley,Cabernet Sauvignon,2016,11.4,0.75L,Medium
281,Olema,Dessert,Argentina,Salta,Riesling,2007,13.2,1.5L,Premium
282,Bernkasteler Badstube Kabinett,Rosé,Australia,Hunter Valley,Chardonnay,2007,12.6,1.5L,Premium
